id,name,city,state,postal,category
1,Michigan Science Center ,Detroit,MI,48202,Non-Profit
2,KNSJ Community radio,San Diego,CA,92105,Community
3,Best Buddies,Indianapolis,IN,46250,Non-Profit
4,QTP Community Organization,Port Saint Lucie,FL,34986,Non-Profit
5,QTP Community Organization 2,Port Saint Lucie,FL,34986,Greek
6,QTP Institutional Partner 2,Port Saint Lucie,FL,34953,Education
7,American Red Cross,Indianapolis,IN,46202,Non-Profit
8,College Mentors for Kids,Indianapolis,IN,46202,Non-Profit
9,Damien Center,Indianapolis,IN,46201,Non-Profit
10,Hawthorn Community Center,Indianapolis,IN,46222,Community
11,Indiana Department of Corrections,Indianapolis,IN,46204,Government
12,Indianapolis Monumental Marathon,Indianapolis,IN,46204,Non-Profit
13,Marion County Prosecutor's Office,Indianapolis,IN,46204,Government
14,Marion County Public Health Department,Indianapolis,IN,46205,Government
15,National Kidney Foundation,Indianapolis,IN,46240,Non-Profit
16,Worldwide Health Services,WEST PALM BEACH,FL,33409,For-Profit
17,Emaculate cleaning institute ,Greensboro,NC,27283,Education
18,Indiana University–Purdue University Indianapolis ( IUPUI TCEM ),Indianapolis,IN,46202,Education
19,Trinity AME Zion YMS,NULL,NULL,NULL,Community
20,Kids Need More Art,Jupiter,FL,33458,Education
21,WGHS Blood Drive,Greensboro ,NC,27410,Education
22,Timeless,Port Saint Lucie West,FL,34986,Community
23,North River Organization,Port Saint Lucie West,FL,34986,Non-Profit
24,QTP Institutional Partner,Port Saint Lucie,FL,34953,Education
25,Zionville School District,Zionsville,IN,46077,Education
26,Holy Family Shelter,Indianapolis,IN,46222,Community
27,Horizon House,Indianapolis,IN,46202,Community
28,HOSTS Mentoring Program,Indianapolis,IN,46214,Education
29,Indiana Mission of Mercy,Indianapolis,IN,46227,Non-Profit
30,Indianapolis Public Schools,Indianapolis,IN,46204,Education
31,Indy Parks and Recreation,Indianapolis,IN,46204,Government
32,National Alliance for Mental Illness,Indianapolis,IN,46222,Non-Profit
33,Shelter Sealant Program,Indianapolis,IN,46202,Non-Profit
34,QTP Community Organization,Port Saint Lucie,FL,34986,Non-Profit
35,QTP Institutional Partner,Port Saint Lucie,FL,34953,Education
36,Gleaner's Food Bank,Indianapolis,IN,46241,Community
37,Indiana Black Expo,Indianapolis,IN,46208,Non-Profit
38,Julian Center,Indianapolis,IN,46202,Non-Profit
39,Marion County Coroners,Indianapolis,IN,46225,Government
40,Mary Rigg Neighborhood Center,Indianapolis,IN,46221,Non-Profit
41,QTP Institutional Partner 2,Port Saint Lucie,FL,34953,Education
42,QTP Community Organization 2,Port Saint Lucie,FL,34986,Greek
43,Carmel Clay Parks & Recreation,Indianapolis,IN,46032,Government
44,Concord Neighborhood Center,Indianapolis,IN,46225,Non-Profit
45,Ivy Tech Community College,Indianapolis,IN,46208,Education
46,Keep Indianapolis Beautiful,Indianapolis,IN,46203,Non-Profit
47,PAWS Pantry,Indianapolis,IN,46202,Education
48,United Way of Central Indiana,Indianapolis,IN,46208,Non-Profit
49,Wheeler Mission Ministries,Indianapolis,IN,46204,Non-Profit
50,North River 3,Port Saint Lucie,FL,34986,Education
51,Greensboro Symphony Orchestra,Greensboro,NC,27401,Non-Profit
52,Greensboro Symphony Orchestra,Greensboro,NC,27401,Non-Profit
53,QA Education 1,Warwick,RI,2886,Education
54,Greensboro Public Libraries,Greensboro,NC,27401,Government
55,Young Entrepreneurs for Leadership & Sustainability,Gainesville,FL,32611,Education
56,"Aging, Disability, and Transit Services of Rockingham County",Reidsville,NC,27320,Non-Profit
57,Backpack Beginnings,Greensboro,NC,27407,Non-Profit
58,Alamance Makers Guild,Burlington,NC,27215,Community
59,Holy Cross Catholic Church,Kernersville,NC,27284,Non-Profit
60,Guilford County Schools,Greensboro,NC,27401,Education
61,Parkland High School,Winston-Salem,NC,27127,Education
62,The Forge Greensboro,Greensboro,NC,27401,Non-Profit
63,Catholic Charities Diocese of Charlotte,Greensboro,NC,27408,Non-Profit
64,Glen Haven Community Center,Greensboro,NC,27405,Community
65,Iglesia De Cristo (Brewer Road Church of Christ),Winston-Salem,NC,27127,Non-Profit
66,New Arrivals Institute,Greensboro,NC,27403,Non-Profit
67,New Arrivals Institute,Greensboro,NC,27403,Non-Profit
68,American Association of University Women,Washington DC,DC,20036,Non-Profit
69,Guilford Education Alliance,Greensboro,NC,27282,Non-Profit
70,Triad Workforce Solutions Collaborative,Greensboro,NC,27401,Community
71,Greensboro Partnership Chamber of Commerce,Greensboro,NC,27401,Non-Profit
72,Partners Ending Homelessness,Greensboro,NC,27405,Non-Profit
73,The Servant Center,Greensboro,NC,27403,Non-Profit
74,Horsepower Therapeutic Learning Center,Colfax,NC,27235,Non-Profit
75,Greensboro News and Record,Greensboro,NC,27401,For-Profit
76,Action Greensboro,Greensboro,NC,27401,Non-Profit
77,Communities in Schools of Greater Greensboro,Greensboro,NC,27401,Non-Profit
78,Greensboro Urban Ministry,Greensboro,NC,27406,Non-Profit
79,New Arrivals Institute,Greensboro,NC,27403,Non-Profit
80,Community Foundation of Greater Greensboro,Greensboro,NC,27401,Community
81,Women's Resource Center of Greensboro,Greensboro,NC,27405,Non-Profit
82,United Way of Greater Greensboro,Greensboro,NC,27405,Non-Profit
83,High Point Museum,High Point,NC,27262,Non-Profit
84,Interactive Resource Center,Greensboro,NC,27401,Non-Profit
85,Mental Health Association of Greensboro,Greensboro,NC,27401,Non-Profit
86,The Bicycle Tree,Santa Ana,CA,92701,Non-Profit
87,The Bicycle Tree,Santa Ana,CA,92701,Non-Profit
88,The Bicycle Tree,Santa Ana,CA,92701,Non-Profit
89,The Bicycle Tree,Santa Ana,CA,92701,Non-Profit
90,The Bicycle Tree,Santa Ana,CA,92701,Non-Profit
91,ArtsGreensboro,Greensboro,NC,27401,Non-Profit
92,Greensboro Urban Ministry,Greensboro,NC,27406,Non-Profit
93,Greensboro Urban Ministry,Greensboro,NC,27406,Non-Profit
94,ArtsGreensboro,Greensboro,NC,27401,Non-Profit
95,Peachtree Ridge High School,Suwanee,GA,30024,Education
96,"Pourhouse, Inc.",Indianapolis,IN,46202,Non-Profit
97,YMCA,Magnolia,NC,33221,Non-Profit
98,Church World Service Greensboro,Greensboro,NC,27401,Non-Profit
99,YMCA,Magnolia,NC,33221,Non-Profit
100,Church World Service Greensboro,Greensboro,NC,27401,Non-Profit
101,SMA Color Guard,Bartow,FL,33830,Non-Profit
102,Sigma Kappa Zeta Chapter,Washington,DC,20052,Greek
103,Test School,Lakeland,FL,33806,Education
104,City of Lakeland Employee Engagement,Lakeland,FL,33801,Government
105,Lake Gibson High School,Lakeland,FL,33809,Education
106,Doris Henderson Newcomers School,Greensboro,NC,27410,Education
107,South Loop Elementary School,Chicago,IL,60605,Education
108,The Academy at Smith,Greensboro,NC,27407,Education
109,"Goodwill Industries of Central North Carolina, Inc.",Greensboro ,NC,27406,Non-Profit
110,City of Greensboro Parks & Recreation Department,Greensboro,NC,27410,Non-Profit
111,NCCJ - Triad, Greensboro ,NC,27401,Non-Profit
112,Greensboro Youth Council,Greensboro,NC,27405,Non-Profit
113,Cobb Theatres,winter haven,FL,33880,For-Profit
114,Westhills Champions Baseball,West Hills,CA,91364,Non-Profit
115,Test Org,lakeland,FL,33351,Civic
116,The Middle College at NC A&T,Greensboro,NC,27401,Education
117,TCC,High Point,NC,27401,Non-Profit
118,Rebuild Polk After Disaster,Lake Wales,FL,33853,Non-Profit
119,Happy Hills,Staley,NC,27355,Non-Profit
120,Wings of Eagles International,Lakeland,FL,33809,Non-Profit
121,High Point Central High School,High Point,NC,27262,Education
122,Acorn Sign Language ,Prescott,AZ,86305,Civic
123,Charity Accelerator.org,Phoenix,AZ,85032,Non-Profit
124,Pine Belt 360,Sumrall,MS,39482,Non-Profit
125,United Way Hands On Greenville,Greenville,SC,29607,Non-Profit
126,University of Central Oklahoma,Edmond,OK,73034,Education
127,South Carolina Campus Compact,Rock Hil,SC,29733,For-Profit
128,Student Services Assistant - MC@ NC A&T,Greensboro,NC,27411,Education
129,Student Recruitment Services,Greensboro,NC,27411,Education
130,Southern Guilford High School,Greensboro,NC,27406,Education
131,Albany Leadership Charter High School for Girls,Albany,NY,12208,Education
132,Adams Farm Living & Rehab,Jamestown,NC,27282,For-Profit
133,Adult Center for Enrichment,Greensboro,NC,27415,Non-Profit
134,American Red Cross Greater Greensboro,Greensboro,NC,27405,Non-Profit
135,Frank,Orlando,FL,32836,Education
136,Greenville Technical College,Greenville,SC,29607,Education
137,Greensboro Urban Ministry,Greensboro,NC,27406,Non-Profit
138,Sgt. Gamers,San Jose,CA,95117,Civic
139,HORSEPOWER,Colfax,NC,27235,Non-Profit
140,Backpack Beginnings,Greensboro/High Point,NC,27407,Non-Profit
141,Griffin Baptist Church,Lakeland,FL,33805,Non-Profit
142,Friends in Action ,Greensboro,NC,27438,Non-Profit
143,ArtQuest at Green Hill Center for NC,Greensboro,NC,27401,Non-Profit
144,Birmingham Urban League Young Professionals,Birmingham,AL,35203,Non-Profit
145,Dallas County Community College District Service Learning,Dallas,TX,75215,Education
146,Lily Conference,Greensboro,NC,27408,Education
147,Black & Latino Achievers,Greensboro,NC,27401,Civic
148,Tristan's Quest,Greensboro,NC,27409,Non-Profit
149,TRU Youth Advisory Board,Greensboro,NC,27405,Government
150,Teen Grantmqking Council of the Community Foundation of Greater Greensboro,Greensboro,NC,27401,Non-Profit
